symbol,exchange,datetime,open,high,low,close,volume,turnover,open_interest
ag,SHFE,2019-01-18 00:00:00,3711.0,3728.0,3696.0,3711.0,484192.0,2694551.43,754808.0
ag,SHFE,2019-01-21 00:00:00,3700.0,3704.0,3653.0,3661.0,593572.0,3273739.593,723620.0
ag,SHFE,2019-01-22 00:00:00,3640.0,3659.0,3636.0,3644.0,372766.0,2039322.108,732422.0
ag,SHFE,2019-01-23 00:00:00,3658.0,3669.0,3652.0,3668.0,370772.0,2036935.392,740050.0
ag,SHFE,2019-01-24 00:00:00,3671.0,3674.0,3647.0,3651.0,348868.0,1914662.997,731234.0
ag,SHFE,2019-01-25 00:00:00,3644.0,3662.0,3642.0,3652.0,294628.0,1614234.552,736018.0
ag,SHFE,2019-01-28 00:00:00,3651.0,3736.0,3646.0,3720.0,707678.0,3930747.114,772662.0
ag,SHFE,2019-01-29 00:00:00,3717.0,3743.0,3702.0,3733.0,523108.0,2920477.044,773414.0
ag,SHFE,2019-01-30 00:00:00,3748.0,3765.0,3731.0,3746.0,520048.0,2922256.476,762544.0
ag,SHFE,2019-01-31 00:00:00,3742.0,3760.0,3721.0,3743.0,423254.0,2375073.93,735014.0
ag,SHFE,2019-02-01 00:00:00,3752.0,3769.0,3732.0,3749.0,402364.0,2265156.51,712152.0
ag,SHFE,2019-02-11 00:00:00,3728.0,3738.0,3722.0,3727.0,128778.0,720690.858,709554.0
ag,SHFE,2019-02-12 00:00:00,3722.0,3741.0,3719.0,3736.0,277308.0,1551933.135,751396.0
ag,SHFE,2019-02-13 00:00:00,3737.0,3743.0,3712.0,3728.0,309634.0,1730633.151,768542.0
ag,SHFE,2019-02-14 00:00:00,3715.0,3738.0,3691.0,3698.0,441954.0,2460954.87,769710.0
ag,SHFE,2019-02-15 00:00:00,3682.0,3709.0,3678.0,3707.0,368594.0,2041616.304,766050.0
ag,SHFE,2019-02-18 00:00:00,3711.0,3746.0,3699.0,3742.0,395502.0,2209778.376,784372.0
ag,SHFE,2019-02-19 00:00:00,3744.0,3761.0,3732.0,3734.0,272616.0,1532019.195,790614.0
ag,SHFE,2019-02-20 00:00:00,3750.0,3790.0,3745.0,3759.0,604220.0,3413242.197,804854.0
ag,SHFE,2019-02-21 00:00:00,3765.0,3787.0,3735.0,3736.0,457394.0,2579537.46,785868.0
ag,SHFE,2019-02-22 00:00:00,3730.0,3743.0,3713.0,3720.0,369722.0,2067433.791,771094.0
ag,SHFE,2019-02-25 00:00:00,3720.0,3745.0,3717.0,3735.0,430080.0,2408143.986,783778.0
ag,SHFE,2019-02-26 00:00:00,3733.0,3734.0,3701.0,3714.0,411664.0,2296471.101,774376.0
ag,SHFE,2019-02-27 00:00:00,3703.0,3723.0,3702.0,3708.0,356790.0,1987797.873,760510.0
ag,SHFE,2019-02-28 00:00:00,3704.0,3716.0,3665.0,3674.0,499290.0,2761020.177,746958.0
ag,SHFE,2019-03-01 00:00:00,3683.0,3691.0,3648.0,3657.0,472070.0,2597280.636,740744.0
ag,SHFE,2019-03-04 00:00:00,3648.0,3653.0,3570.0,3574.0,763880.0,4137048.786,741786.0
ag,SHFE,2019-03-05 00:00:00,3560.0,3569.0,3537.0,3548.0,639520.0,3407730.513,749308.0
ag,SHFE,2019-03-06 00:00:00,3552.0,3574.0,3541.0,3573.0,372268.0,1985411.907,753210.0
ag,SHFE,2019-03-07 00:00:00,3562.0,3579.0,3555.0,3558.0,303306.0,1621238.295,737768.0
ag,SHFE,2019-03-08 00:00:00,3565.0,3584.0,3542.0,3578.0,389170.0,2079289.866,728466.0
ag,SHFE,2019-03-11 00:00:00,3579.0,3618.0,3574.0,3602.0,506060.0,2734684.782,719200.0
ag,SHFE,2019-03-12 00:00:00,3601.0,3620.0,3585.0,3614.0,249572.0,1349379.648,714728.0
ag,SHFE,2019-03-13 00:00:00,3623.0,3627.0,3608.0,3617.0,199502.0,1082483.901,713654.0
ag,SHFE,2019-03-14 00:00:00,3620.0,3627.0,3588.0,3589.0,316100.0,1710077.643,687836.0
ag,SHFE,2019-03-15 00:00:00,3580.0,3601.0,3551.0,3596.0,456316.0,2445610.461,681556.0
ag,SHFE,2019-03-18 00:00:00,3595.0,3604.0,3574.0,3597.0,247630.0,1333587.918,667318.0
ag,SHFE,2019-03-19 00:00:00,3606.0,3614.0,3599.0,3610.0,205244.0,1110591.228,672644.0
ag,SHFE,2019-03-20 00:00:00,3612.0,3623.0,3596.0,3602.0,189684.0,1026678.732,667624.0
ag,SHFE,2019-03-21 00:00:00,3603.0,3653.0,3588.0,3649.0,440510.0,2395816.557,674332.0
ag,SHFE,2019-03-22 00:00:00,3642.0,3646.0,3623.0,3641.0,290774.0,1585448.472,677906.0
ag,SHFE,2019-03-25 00:00:00,3630.0,3640.0,3623.0,3635.0,253754.0,1382512.323,681446.0
ag,SHFE,2019-03-26 00:00:00,3646.0,3655.0,3629.0,3631.0,284204.0,1553049.204,673054.0
ag,SHFE,2019-03-27 00:00:00,3626.0,3636.0,3610.0,3615.0,295830.0,1607368.674,657420.0
ag,SHFE,2019-03-28 00:00:00,3612.0,3619.0,3581.0,3589.0,333470.0,1798958.085,654574.0
ag,SHFE,2019-03-29 00:00:00,3565.0,3567.0,3512.0,3526.0,510666.0,2713153.728,628794.0
ag,SHFE,2019-04-01 00:00:00,3551.0,3557.0,3535.0,3546.0,288434.0,1535072.949,616996.0
ag,SHFE,2019-04-02 00:00:00,3560.0,3566.0,3545.0,3549.0,239622.0,1277544.369,625720.0
ag,SHFE,2019-04-03 00:00:00,3538.0,3576.0,3532.0,3567.0,312154.0,1666043.115,622840.0
ag,SHFE,2019-04-04 00:00:00,3555.0,3573.0,3550.0,3570.0,226814.0,1211875.902,624930.0
ag,SHFE,2019-04-08 00:00:00,3568.0,3583.0,3567.0,3578.0,128436.0,688931.526,629740.0
ag,SHFE,2019-04-09 00:00:00,3594.0,3605.0,3582.0,3591.0,214660.0,1157063.592,629638.0
ag,SHFE,2019-04-10 00:00:00,3602.0,3602.0,3572.0,3586.0,239738.0,1289844.369,625754.0
ag,SHFE,2019-04-11 00:00:00,3583.0,3596.0,3574.0,3576.0,209078.0,1123946.379,613232.0
