symbol,exchange,datetime,open,high,low,close,volume,turnover,open_interest
al,SHFE,2019-01-18 00:00:00,13380.0,13475.0,13310.0,13475.0,147894.0,990738.385,251106.0
al,SHFE,2019-01-21 00:00:00,13480.0,13610.0,13445.0,13535.0,183812.0,1243544.67,240916.0
al,SHFE,2019-01-22 00:00:00,13495.0,13500.0,13380.0,13395.0,140958.0,947331.375,235480.0
al,SHFE,2019-01-23 00:00:00,13455.0,13535.0,13405.0,13520.0,148358.0,1000242.9,234888.0
al,SHFE,2019-01-24 00:00:00,13530.0,13610.0,13505.0,13550.0,174452.0,1183099.745,235502.0
al,SHFE,2019-01-25 00:00:00,13505.0,13565.0,13490.0,13520.0,113028.0,764417.655,223670.0
al,SHFE,2019-01-28 00:00:00,13505.0,13610.0,13470.0,13485.0,143332.0,970431.905,228902.0
al,SHFE,2019-01-29 00:00:00,13470.0,13500.0,13385.0,13410.0,132966.0,893390.075,226600.0
al,SHFE,2019-01-30 00:00:00,13430.0,13525.0,13415.0,13460.0,136934.0,922744.13,230150.0
al,SHFE,2019-01-31 00:00:00,13480.0,13545.0,13455.0,13510.0,130174.0,879233.57,227312.0
al,SHFE,2019-02-01 00:00:00,13510.0,13565.0,13385.0,13545.0,151870.0,1022749.03,222172.0
al,SHFE,2019-02-11 00:00:00,13530.0,13530.0,13305.0,13315.0,106270.0,711339.885,237772.0
al,SHFE,2019-02-12 00:00:00,13310.0,13390.0,13310.0,13365.0,124682.0,833017.955,244518.0
al,SHFE,2019-02-13 00:00:00,13350.0,13395.0,13325.0,13350.0,96788.0,646408.31,237192.0
al,SHFE,2019-02-14 00:00:00,13335.0,13485.0,13335.0,13390.0,111370.0,745557.02,232766.0
al,SHFE,2019-02-15 00:00:00,13390.0,13400.0,13335.0,13385.0,110810.0,740882.805,224276.0
al,SHFE,2019-02-18 00:00:00,13405.0,13500.0,13395.0,13460.0,130650.0,878787.085,219450.0
al,SHFE,2019-02-19 00:00:00,13450.0,13495.0,13430.0,13455.0,56668.0,381214.005,236138.0
al,SHFE,2019-02-20 00:00:00,13470.0,13530.0,13460.0,13505.0,94816.0,639551.13,256458.0
al,SHFE,2019-02-21 00:00:00,13495.0,13550.0,13470.0,13540.0,94966.0,641659.38,264626.0
al,SHFE,2019-02-22 00:00:00,13545.0,13685.0,13520.0,13675.0,167732.0,1141747.96,296014.0
al,SHFE,2019-02-25 00:00:00,13715.0,13785.0,13660.0,13755.0,143276.0,983253.62,300268.0
al,SHFE,2019-02-26 00:00:00,13745.0,13795.0,13680.0,13690.0,124900.0,856814.045,305506.0
al,SHFE,2019-02-27 00:00:00,13700.0,13735.0,13665.0,13690.0,126400.0,866088.19,310718.0
al,SHFE,2019-02-28 00:00:00,13705.0,13740.0,13655.0,13680.0,134488.0,920876.61,312740.0
al,SHFE,2019-03-01 00:00:00,13680.0,13690.0,13610.0,13685.0,127046.0,867182.96,329678.0
al,SHFE,2019-03-04 00:00:00,13670.0,13750.0,13660.0,13735.0,174464.0,1196126.44,332896.0
al,SHFE,2019-03-05 00:00:00,13665.0,13680.0,13480.0,13570.0,440026.0,2988527.725,322000.0
al,SHFE,2019-03-06 00:00:00,13600.0,13600.0,13505.0,13505.0,129242.0,876558.115,321816.0
al,SHFE,2019-03-07 00:00:00,13550.0,13550.0,13430.0,13480.0,186782.0,1259604.63,310020.0
al,SHFE,2019-03-08 00:00:00,13480.0,13535.0,13465.0,13510.0,134064.0,904932.29,303948.0
al,SHFE,2019-03-11 00:00:00,13520.0,13545.0,13460.0,13525.0,146380.0,988245.9,313442.0
al,SHFE,2019-03-12 00:00:00,13510.0,13565.0,13460.0,13535.0,148058.0,1000147.45,317194.0
al,SHFE,2019-03-13 00:00:00,13550.0,13625.0,13545.0,13605.0,162996.0,1107301.915,309794.0
al,SHFE,2019-03-14 00:00:00,13655.0,13690.0,13620.0,13650.0,172170.0,1175570.96,305540.0
al,SHFE,2019-03-15 00:00:00,13645.0,13725.0,13565.0,13665.0,269302.0,1837722.07,288308.0
al,SHFE,2019-03-18 00:00:00,13635.0,13635.0,13575.0,13600.0,114002.0,775181.04,285706.0
al,SHFE,2019-03-19 00:00:00,13605.0,13735.0,13590.0,13730.0,152898.0,1045254.305,284890.0
al,SHFE,2019-03-20 00:00:00,13730.0,13825.0,13695.0,13795.0,200628.0,1380682.3,296544.0
al,SHFE,2019-03-21 00:00:00,13790.0,13840.0,13755.0,13810.0,138272.0,953871.825,292526.0
al,SHFE,2019-03-22 00:00:00,13775.0,13785.0,13715.0,13755.0,123954.0,852140.645,281114.0
al,SHFE,2019-03-25 00:00:00,13740.0,13755.0,13620.0,13645.0,177442.0,1212986.36,274908.0
al,SHFE,2019-03-26 00:00:00,13625.0,13665.0,13610.0,13630.0,102086.0,696267.62,269840.0
al,SHFE,2019-03-27 00:00:00,13615.0,13655.0,13595.0,13650.0,109566.0,746689.65,266720.0
al,SHFE,2019-03-28 00:00:00,13660.0,13730.0,13650.0,13685.0,176346.0,1206907.1,256522.0
al,SHFE,2019-03-29 00:00:00,13705.0,13730.0,13655.0,13720.0,132862.0,909937.335,258548.0
al,SHFE,2019-04-01 00:00:00,13740.0,13900.0,13735.0,13870.0,199564.0,1377687.055,261876.0
al,SHFE,2019-04-02 00:00:00,13850.0,13850.0,13730.0,13770.0,152566.0,1051214.945,248860.0
al,SHFE,2019-04-03 00:00:00,13770.0,13820.0,13735.0,13800.0,98962.0,681740.04,243362.0
al,SHFE,2019-04-04 00:00:00,13775.0,13845.0,13745.0,13805.0,95926.0,661713.195,240650.0
al,SHFE,2019-04-08 00:00:00,13795.0,13850.0,13790.0,13805.0,69296.0,478892.435,240036.0
al,SHFE,2019-04-09 00:00:00,13790.0,13830.0,13760.0,13810.0,103484.0,713458.63,233418.0
al,SHFE,2019-04-10 00:00:00,13810.0,13880.0,13795.0,13850.0,146948.0,1017255.575,232012.0
al,SHFE,2019-04-11 00:00:00,13835.0,13860.0,13810.0,13830.0,83050.0,574353.7,224526.0
al,SHFE,2019-04-12 00:00:00,13830.0,13855.0,13795.0,13840.0,88710.0,613718.695,221702.0
al,SHFE,2019-04-15 00:00:00,13845.0,13910.0,13830.0,13835.0,119096.0,825468.24,211418.0
