symbol,exchange,datetime,open,high,low,close,volume,turnover,open_interest
cu,SHFE,2019-01-18 00:00:00,47350.0,47930.0,47230.0,47860.0,213558.0,5086809.03,198828.0
cu,SHFE,2019-01-21 00:00:00,47930.0,48300.0,47690.0,47800.0,223964.0,5369570.45,194574.0
cu,SHFE,2019-01-22 00:00:00,47660.0,47850.0,47500.0,47530.0,129522.0,3085974.8,191478.0
cu,SHFE,2019-01-23 00:00:00,47610.0,47690.0,47320.0,47540.0,118250.0,2808727.79,192730.0
cu,SHFE,2019-01-24 00:00:00,47430.0,47610.0,47260.0,47320.0,133490.0,3163358.15,191876.0
cu,SHFE,2019-01-25 00:00:00,47260.0,47490.0,47090.0,47380.0,146234.0,3458478.81,190720.0
cu,SHFE,2019-01-28 00:00:00,47210.0,47950.0,47140.0,47540.0,215208.0,5124824.8,180062.0
cu,SHFE,2019-01-29 00:00:00,47620.0,47670.0,47350.0,47580.0,121536.0,2887483.35,177368.0
cu,SHFE,2019-01-30 00:00:00,47610.0,47920.0,47600.0,47700.0,135976.0,3246791.99,178878.0
cu,SHFE,2019-01-31 00:00:00,47830.0,48220.0,47770.0,48090.0,164962.0,3963052.88,172048.0
cu,SHFE,2019-02-01 00:00:00,48210.0,48360.0,47970.0,48270.0,113982.0,2745585.23,166284.0
cu,SHFE,2019-02-11 00:00:00,48600.0,48600.0,48170.0,48190.0,91592.0,2215008.93,167466.0
cu,SHFE,2019-02-12 00:00:00,48310.0,48450.0,48060.0,48110.0,106656.0,2575494.11,166960.0
cu,SHFE,2019-02-13 00:00:00,48000.0,48150.0,47830.0,48120.0,96160.0,2309656.56,166814.0
cu,SHFE,2019-02-14 00:00:00,48010.0,48390.0,48000.0,48340.0,77688.0,1871144.79,165328.0
cu,SHFE,2019-02-15 00:00:00,48640.0,48650.0,48150.0,48200.0,130306.0,3150713.48,184008.0
cu,SHFE,2019-02-18 00:00:00,48500.0,49260.0,48440.0,49230.0,221478.0,5405813.41,222040.0
cu,SHFE,2019-02-19 00:00:00,49290.0,49480.0,49160.0,49360.0,170316.0,4201076.93,232708.0
cu,SHFE,2019-02-20 00:00:00,49280.0,49790.0,49230.0,49710.0,196492.0,4872424.11,240388.0
cu,SHFE,2019-02-21 00:00:00,49690.0,50040.0,49530.0,49670.0,220484.0,5488440.12,248714.0
cu,SHFE,2019-02-22 00:00:00,49750.0,49920.0,49550.0,49920.0,169764.0,4220284.17,250936.0
cu,SHFE,2019-02-25 00:00:00,50310.0,50620.0,50100.0,50520.0,275480.0,6929205.17,257880.0
cu,SHFE,2019-02-26 00:00:00,50370.0,50410.0,49970.0,50190.0,229798.0,5763277.78,251196.0
cu,SHFE,2019-02-27 00:00:00,50160.0,50280.0,49970.0,50080.0,182712.0,4580475.23,241558.0
cu,SHFE,2019-02-28 00:00:00,50220.0,50440.0,50110.0,50160.0,172546.0,4336181.12,232392.0
cu,SHFE,2019-03-01 00:00:00,50260.0,50560.0,50100.0,50500.0,163088.0,4099645.4,224932.0
cu,SHFE,2019-03-04 00:00:00,50530.0,50810.0,49980.0,50010.0,196842.0,4955371.2,217350.0
cu,SHFE,2019-03-05 00:00:00,49680.0,50230.0,49610.0,49880.0,260694.0,6505825.83,194702.0
cu,SHFE,2019-03-06 00:00:00,49620.0,49670.0,49340.0,49400.0,132836.0,3285560.74,235600.0
cu,SHFE,2019-03-07 00:00:00,49450.0,49650.0,49110.0,49210.0,174430.0,4307917.16,228928.0
cu,SHFE,2019-03-08 00:00:00,49220.0,49300.0,48990.0,49040.0,152736.0,3753520.66,231054.0
cu,SHFE,2019-03-11 00:00:00,48820.0,49220.0,48810.0,49190.0,140418.0,3442856.14,234632.0
cu,SHFE,2019-03-12 00:00:00,49170.0,49490.0,49010.0,49450.0,155542.0,3831429.45,242998.0
cu,SHFE,2019-03-13 00:00:00,49630.0,49720.0,49220.0,49340.0,165036.0,4078723.75,234442.0
cu,SHFE,2019-03-14 00:00:00,49440.0,49440.0,49060.0,49110.0,149960.0,3693583.57,238354.0
cu,SHFE,2019-03-15 00:00:00,48870.0,49410.0,48670.0,49320.0,326806.0,8000245.85,235392.0
cu,SHFE,2019-03-18 00:00:00,49120.0,49460.0,48950.0,49350.0,190904.0,4694915.54,227840.0
cu,SHFE,2019-03-19 00:00:00,49390.0,49430.0,49130.0,49330.0,132344.0,3259441.78,229810.0
cu,SHFE,2019-03-20 00:00:00,49390.0,49500.0,49160.0,49190.0,111362.0,2744988.69,229844.0
cu,SHFE,2019-03-21 00:00:00,49190.0,49480.0,49120.0,49420.0,141296.0,3484947.71,237030.0
